Company_Name,Market,Country_Code,City,Founded_Year,Funding_Rounds,Funding_Total_USD,First_Funding_At,Last_Funding_At,Status
IntelligenceNODE,,IND,Mumbai,,1,350000,2014-05-01,2014-05-01,Operating
intelloCut, Software ,IND,Noida,2012,1,200000,2014-02-09,2014-02-09,Operating
Intepat IP Services, Finance ,IND,Bengaluru,,1,10000,2009-09-01,2009-09-01,Operating
InterpretOmics, Analytics ,IND,Bengaluru,2009,1,1600000,2013-08-13,2013-08-13,Operating
Interview Master, Human Resources ,IND,Bengaluru,2012,3,0,2013-01-09,2014-01-30,Operating
InterviewBit,E-Learning,IND,Bengaluru,2015,2,21500000,14-12-2015,19-02-2016,Closed
iNurture, Education ,IND,Bengaluru,2005,1,4897824,2014-10-30,2014-10-30,Operating
Invictus Oncology, Biotechnology ,IND,Delhi,2011,1,1880000,2013-05-28,2013-05-28,Operating
iPG Maxx Entertainment India (P) Ltd, Film ,IND,,2014,1,500000,2014-05-15,2014-05-15,
iPolicy Networks, Security ,IND,Noida,,2,44000000,2005-10-04,2006-01-01,Operating
iProf Learning Solutions, Education ,IND,Noida,2009,2,15000000,2011-03-01,2014-01-23,Operating
iSTAR, Education ,IND,Bengaluru,2009,1,0,2013-04-10,2013-04-10,Operating
iTiffin, Health Care ,IND,Bengaluru,2013,1,1000000,2014-08-28,2014-08-28,Operating
ITILITE,Business Travel,IND,Bengaluru,2017,3,17271725,23-03-2018,26-01-2020,Operating
ItzCash Card Ltd., Gift Card ,IND,Mumbai,2006,1,15000000,2014-09-02,2014-09-02,Operating
Ivy Health and Life Sciences, Health and Wellness ,IND,Mohali,2007,1,12100000,2013-06-11,2013-06-11,Operating
ixigo.com, Hotels ,IND,Gurgaon,2006,3,18500000,2008-02-01,2011-08-11,Operating
iYogi, Hardware ,IND,Gurgaon,2007,5,85600000,2007-01-01,2014-05-08,Operating
J Kumar Infraprojects, Real Estate ,IND,Mumbai,1980,1,22800000,2014-07-24,2014-07-24,Operating
Jabong.com, Beauty ,IND,Gurgaon,2012,1,27500000,2014-02-05,2014-02-05,Operating
Jack On Block,,IND,Bengaluru,2012,1,0,2013-04-10,2013-04-10,Operating
Jai Kisan,Agriculture,IND,Mumbai,2017,5,35400000,13-02-2017,24-11-2021,Operating
Janalakshmi, Finance ,IND,Bengaluru,2006,1,57000000,2013-08-14,2013-08-14,Operating
Jasper, E-Commerce ,IND,New Delhi,,3,102000000,2011-01-25,2014-04-28,
Jaypore, Marketplaces ,IND,New Delhi,2012,1,375000,2011-09-04,2011-09-04,Operating
Jeeves, Hardware + Software ,IND,Bengaluru,2007,1,0,2012-06-21,2012-06-21,Operating
jiffstore, Retail ,IND,Bengaluru,2013,1,0,2014-05-01,2014-05-01,Operating
Jigsee, Video Streaming ,IND,Mumbai,2008,2,0,2010-07-19,2011-02-14,Acquired
JoGuru, Travel ,IND,Pune,2011,1,200000,2010-10-05,2010-10-05,Operating
Jumbotail, Retail,IND,Bengaluru,2015,8,55345400,25-05-2015,10-04-2022,Operating
Jupiter,Banking,IND,Mumbai,2019,2,26000000,18-04-2021,07-01-2022,Operating
Just Dial, Search ,IND,Mumbai,1997,2,67000000,2011-06-06,2012-06-27,
K-12 Techno Services, Education ,IND,Secunderabad,,1,15000000,2010-09-08,2010-09-08,Operating
K2 Learning, Education ,IND,Bengaluru,2009,1,1300000,2013-10-18,2013-10-18,Operating
Kalyan Jewellers, Jewelry ,IND,,1993,1,200000000,2014-08-26,2014-08-26,Operating
Kapsica Media, Advertising ,IND,Pune,2011,1,0,2014-03-11,2014-03-11,Operating
Karma Recycling, Software ,IND,New Delhi,2012,1,0,2013-10-09,2013-10-09,Operating
KarmYog Media, News ,IND,Kolkata,,1,0,2014-03-19,2014-03-19,Operating
KartRocket, SaaS ,IND,New Delhi,2012,2,2000000,2013-07-23,2014-10-21,Operating
Ketto, Curated Web ,IND,Mumbai,2012,1,150000,2013-11-18,2013-11-18,Operating
Keyideas Infotech (P) Limited, Web Development ,IND,New Delhi,2009,1,1000000,2013-01-10,2013-01-10,Operating
Kissht,FinTech,IND,Mumbai,2015,6,49247312,12-05-2017,23-01-2022,Operating
Knimbus, Messaging ,IND,Gurgaon,2010,1,500000,2013-07-04,2013-07-04,Operating
Knottykart, E-Commerce ,IND,Noida,,1,160000,2014-02-04,2014-02-04,Operating
